Familia actualizada,Género actualizado,Especie actualizada,Taxa infraespecífico,Autor,MEXUw,Colector,Colectores asociados,N° Colecta,Familia anterior,Género anterior,Especie anterior,Estado,País,Fecha,Día,Mes,Año,Institución,Donaciones,Péstamos/ Exhibiciones,Nombre común,Forma de vida,Parte del árbol donde se realizó la colecta,Altura,DAP,Altura de colecta,N° Fam,Nº Género,,,,,,,,,,,,
Convolvulaceae,Ipomoea,philomega, ,(Vell.),MEXUw-0032,"León Gómez, Calixto",,918,,,,Veracruz,México,5/5/2002,5,5,2002,"Instituto de Biología, UNAM",,,Asmolle,Liana,,,,,249,7003,,,,,,,,,,,,
Pinaceae,Pinus,strobus,var. chiapensis,Martínez,MEXUw-0033,"Miranda, Faustino",,6085,,,,Chiapas,México,7/3/1950,7,3,1950,"Instituto de Biología, UNAM",,,Pinabeto,Árbol,,,,,6,22,,,,,,,,,,,,
Anacardiaceae,Pistacia,mexicana, ,Kunth,MEXUw-0034,"Miranda, Faustino",,6888,,,,Chiapas,México,12/2/1951,12,2,1951,"Instituto de Biología, UNAM",,,Achin,Árbol,,,,,153,4568,,,,,,,,,,,,
Anacardiaceae,Astronium,graveolens, ,Jacq.,MEXUw-0035,"Miranda, Faustino",,5253,,,,Chiapas,México,17/4/1949,17,4,1949,"Instituto de Biología, UNAM",,,Gateado,Árbol,,,,,153,4595,,,,,,,,,,,,
Euphorbiaceae,Euphorbia,pseudofulva, ,Miranda,MEXUw-0036,"Miranda, Faustino",,6134,,,,Chiapas,México,23/3/1950,23,3,1950,"Instituto de Biología, UNAM",,,"Cojambomó, zoque",Árbol,,,,,147,4498,,,,,,,,,,,,
Meliaceae,Trichilia,hirta, ,L.,MEXUw-0037,"Miranda, Faustino",,NA,,,,Chiapas,México,23/3/1950,23,3,1950,"Instituto de Biología, UNAM",,,Napagüito,Árbol,,,,,140,4195,,,,,,,,,,,,
Meliaceae,Swietenia,macrophylla, ,King,MEXUw-0038,"Miranda, Faustino",,6342,,,,Chiapas,México,31/3/1950,31,3,1950,"Instituto de Biología, UNAM",,,Caoba,Árbol,,,,,140,4164,,,,,,,,,,,,
Burseraceae,Bursera,diversifolia, ,Rose,MEXUw-0039,"Miranda, Faustino",,NA,,,,Chiapas,México,31/3/1950,31,3,1950,"Instituto de Biología, UNAM",,,"Copalillo, hoja menuda",Árbol,,,,,139,4150,,,,,,,,,,,,
Picramniaceae,Alvaradoa,amorphoides, ,Liebm.,MEXUw-0040,"Miranda, Faustino",,6859,Simaroubaceae,,,Chiapas,México,29/1/1951,29,1,1951,"Instituto de Biología, UNAM",,,Camarón,Árbol,,,,,138,4132,,,,,,,,,,,,
Zygophyllaceae,Guaiacum,sanctum, ,L.,MEXUw-0041,"Miranda, Faustino",,6459,,,,Chiapas,México,29/7/1950,29,7,1950,"Instituto de Biología, UNAM",,,Guayacan,Árbol,,,,,135,3968,,,,,,,,,,,,
Fabaceae,Andira,inermis, ,(W. Wright) Kunth ex DC.,MEXUw-0042,"Miranda, Faustino",,7120,Leguminosae,,,Chiapas,México,19/4/1951,19,4,1951,"Instituto de Biología, UNAM",,,,Árbol,,,,,128,3841,,,,,,,,,,,,
Fabaceae,Lonchocarpus,minimiflorus, ,Donn. Sm.,MEXUw-0043,"Miranda, Faustino",,NA,Leguminosae,,,Chiapas,México,99/99/1950,NA,NA,1950,"Instituto de Biología, UNAM",,,Ashicamé,Árbol,,,,,128,3834,,,,,,,,,,,,
Fabaceae,Platymiscium,dimorphandrum, ,Donn. Sm.,MEXUw-0044,"Miranda, Faustino",,7097,Leguminosae,,,Chiapas,México,99/99/1950,NA,NA,1950,"Instituto de Biología, UNAM",,,,Árbol,,,,,128,3829,,,,,,,,,,,,
Sapotaceae,Sideroxylon,persimile, ,(Hemsl.) T.D.Penn.,MEXUw-0045,"Miranda, Faustino",,NA,,Bumelia,persimilis subsp. typica,Chiapas,México,99/99/1950,NA,NA,1950,"Instituto de Biología, UNAM",,,Caipoqui,Árbol,,,,,239,6368,,,,,,,,,,,,
Sapotaceae,Sideroxylon,celastrinum, ,(Kunth) T.D.Penn.,MEXUw-0046,"Miranda, Faustino",,6882,,Bumelia,spiniflora,Chiapas,México,99/99/1950,NA,NA,1950,"Instituto de Biología, UNAM",,,,Árbol,,,,,239,6368,,,,,,,,,,,,
Sapotaceae,Manilkara,chicle, ,(Pittier) Gilly,MEXUw-0047,"Miranda, Faustino",,7119,,Achras,,Chiapas,México,17/4/1951,17,4,1951,"Instituto de Biología, UNAM",,,Guapaque,Árbol,,,,,239,6386A,,,,,,,,,,,,
Bignoniaceae,Amphitecna,sessilifolia, ,(Donn.Sm.) L.O.Williams,MEXUw-0048,"Miranda, Faustino",,6916,,Enallagma,,Chiapas,México,16/2/1951,16,2,1951,"Instituto de Biología, UNAM",,,Morro danta,Árbol,,,,,258,7757,,,,,,,,,,,,
Bignoniaceae,Roseodendron,donnell-smithii, ,(Rose) Miranda,MEXUw-0049,"Miranda, Faustino",,5960,,Tabebuia,,Chiapas,México,27/1/1950,27,1,1950,"Instituto de Biología, UNAM",,,Primavera,Árbol,,,,,258,7732,,,,,,,,,,,,
Bignoniaceae,Tabebuia,heterophylla, ,(DC.) Britton,MEXUw-0050,"Miranda, Faustino",,6716,,,pentaphylla,Chiapas,México,22/10/1950,22,10,1950,"Instituto de Biología, UNAM",,,Macuelis,Árbol,,,,,258,7732,,,,,,,,,,,,
Boraginaceae,Bourreria,huanita, ,(Lex.) Hemsl.,MEXUw-0051,"Miranda, Faustino",,6884,,,,Chiapas,México,7/2/1951,7,2,1951,"Instituto de Biología, UNAM",,,Jazmin istmo ,Árbol,,,,,252,7042,,,,,,,,,,,,
