Familia actualizada,Género actualizado,Especie actualizada,Taxa infraespecífico,Autor,MEXUw,Colector,Colectores asociados,N° Colecta,Familia anterior,Género anterior,Especie anterior,Estado,País,Fecha,Día,Mes,Año,Institución,Donaciones,Péstamos/ Exhibiciones,Nombre común,Forma de vida,Parte del árbol donde se realizó la colecta,Altura,DAP,Altura de colecta,N° Fam,Nº Género,,,,,,,,,,,,
Fabaceae,Gliricidia,sepium, ,(Jacq.) Kunth ex Walp.,MEXUw-2757,NA,,NA,,,,Cuba,Cuba,NA,NA,NA,NA,Centro de Investigaciones forestales,,,Piñon Florido,Árbol,,12 m,15 cm,,128,3734,,,,,,,,,,,,
Fabaceae,Gliricidia,sepium, ,(Jacq.) Kunth ex Walp.,MEXUw-2758,NA,,NA,,,,Cuba,Cuba,NA,NA,NA,NA,Centro de Investigaciones forestales,,,Piñon Florido,Árbol,,6 m,15 cm,,128,3734,,,,,,,,,,,,
Fabaceae,Guilandina,echinata, ,(Lam) Spreng.,MEXUw-2759,Réjean Drouin,,NA,,,,Brasil,Brasil,14/5/2009,14,5,2009,Réjean Drouin ,,,,Árbol,,,,,128,3559,,,,,,,,,,,,
Fabaceae,Guilandina,platyloba, ,,MEXUw-2760,Réjean Drouin,,NA,,,,México,México,14/5/2009,14,5,2009,Réjean Drouin ,,,,Árbol,,,,,128,3559,,,,,,,,,,,,
Meliaceae,Cedrelinga,cateniformis, ,(Ducke) Ducke,MEXUw-2761,Gutiérrez,,"87, 98",,,,Perú,Perú,NA,NA,NA,NA,Fiel Museum of Natural History,,,Tingo maría,Árbol,,,,,140,3441C,,,,,,,,,,,,
Fabaceae,Inga,alba, ,(Sw.) Willd.,MEXUw-2762,NA,,22394,Mimosaceae,,,Perú,Perú,NA,NA,NA,NA,"U.S Forest Products Laboratory, One Gifford Pinchot Drive",,,,Árbol,,,,,128,3436,,,,,,,,,,,,
Fabaceae,Inga,coruscans, ,Humb. & Bonpl. ex Willd.,MEXUw-2763,Cuatrecasas Jose,,NA,Mimosaceae,,,Colombia,Colombia,1943,NA,NA,1943,"U.S Forest Products Laboratory, One Gifford Pinchot Drive",,,,Árbol,,10 m,28 cm,,128,3436,,,,,,,,,,,,
Fabaceae,Inga,flexuosa, ,Schltdl.,MEXUw-2764,NA,,NA,Mimosaceae,,hintoni,Jalisco,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Cuajinicuil de hoja,Árbol,,,,,128,3436,,,,,,,,,,,,
Fabaceae,Inga,jinicuil, ,Schltdl. & Cham. ex G.Don,MEXUw-2765,G M M,,288,Mimosaceae,,,Veracruz,México,NA,NA,NA,NA,"Xiloteca del Instituto de Investigaciones sobre Recursos Bióticos, Xalapa, Veracruz",,,,Árbol,,10 m,20 cm,,128,3436,,,,,,,,,,,,
Fabaceae,Inga,laurina, ,(Sw.) Willd.,MEXUw-2766,NA,,NA,Mimosaceae,,,Puerto Rico,Puerto Rico,99/99/1975,NA,NA,1975,Fiel Museum of Natural History,,,Guama,Árbol,,20 m,47 cm,,128,3436,,,,,,,,,,,,
Fabaceae,Inga,marginata, ,Willd.,MEXUw-2767,Williams Liewelyn,,NA,Mimosaceae,,,Veracruz,México,99/99/1937,NA,NA,1937,Fiel Museum of Natural History,,,,Árbol,,6 m,15 cm,,128,3436,,,,,,,,,,,,
Fabaceae,Inga,vera,subsp. vera,Humb. & Bonpl. ex Willd.,MEXUw-2768,NA,,NA,Mimosaceae,,spuria,San Luis Potosi,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Chalahuite,Árbol,,,,,128,3436,,,,,,,,,,,,
Fabaceae,Inga,vera,subsp. vera,Humb. & Bonpl. ex Willd.,MEXUw-2769,NA,,NA,Mimosaceae,,spuria,San Luis Potosi,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Chalahuite,Árbol,,,,,128,3436,,,,,,,,,,,,
Fabaceae,Inga,fastuosa, ,(Jacq.) Willd.,MEXUw-2770,Cuatrecasas Jose,,NA,Mimosaceae,,venosa,Colombia,Colombia,99/99/1943,NA,NA,1943,"U.S Forest Products Laboratory, One Gifford Pinchot Drive",,,,Árbol,,,,,128,3436,,,,,,,,,,,,
Fabaceae,Inga,vera, ,Willd.,MEXUw-2771,NA,,NA,Mimosaceae,,,Puerto Rico,Puerto Rico,99/99/1957,NA,NA,1957,Fiel Museum of Natural History,,,Guaba,Árbol,,4 m,12 cm,,128,3436,,,,,,,,,,,,
Fabaceae,Inga,xalapensis, ,Benth.,MEXUw-2772,Williams Liewelyn,,NA,Mimosaceae,,,Oaxaca,México,99/99/1937,NA,NA,1937,Fiel Museum of Natural History,,,,Árbol,,6 m,20 cm,,128,3436,,,,,,,,,,,,
Fabaceae,Intsia,bijuga, ,(Colebr.) Kuntze,MEXUw-2773,NA,,15722,Caesalpiniaceae,,,Wisconsin,Estados Unidos Americanos,NA,NA,NA,NA,Fiel Museum of Natural History,,,,Árbol,,,,,128,3510,,,,,,,,,,,,
Fabaceae,Laburnum,anagyroides, ,Medik.,MEXUw-2774,NA,,NA,,,,Países Bajos,Países Bajos,NA,NA,NA,NA,"Rijksuniversiteit te Utrech, Netherlands",,,,Árbol,,10 m,,,128,3678,,,,,,,,,,,,
Fabaceae,Leucaena,lanceolata, ,S. Watson,MEXUw-2775,Zolá  M.,,1765,Mimosaceae,,,Veracruz,México, 26/02/1987,26,2,1987,"Xiloteca del Instituto de Investigaciones sobre Recursos Bióticos, Xalapa, Veracruz",,,,Árbol,,,,,128,3447,,,,,,,,,,,,
Fabaceae,Leucaena,leucocephala, ,(Lam) de Wit,MEXUw-2776,B. Curtis Alan,Edgar Cabrera Cano,18,Mimosaceae,,,Yucatán,México, 99/99/2003,NA,NA,2003,Alan B. Curtis - Edgar Cabrera Cano - CIQRO,,,"Lead tree, leucaena, popinac",Árbol,,,,,128,3447,,,,,,,,,,,,
Fabaceae,Leucaena,pulverulenta, ,(Schltdl.) Benth.,MEXUw-2777,NA,,NA,Mimosaceae,,,NA,NA,NA,NA,NA,NA,"U.S Forest Products Laboratory, One Gifford Pinchot Drive",,,,Árbol,,,,,128,3447,,,,,,,,,,,,
Fabaceae,Lonchocarpus,castilloi, ,Standl.,MEXUw-2778,NA,,NA,,,,Estado de México,México,NA,NA,NA,NA,"Colegio de Postgraduados en Ciencias Agrícolas, Universidad Autónoma de Chapingo",,PaBio,,Árbol,,15 m,27 cm,,128,3834,,,,,,,,,,,,
Fabaceae,Lonchocarpus,castilloi, ,Standl.,MEXUw-2779,"Calzada, Juan Ismael",,JIC-3110,,,,Chiapas,México, 18/03/1977,18,3,1977,Instituto de Investigaciones Sobre Recursos Bióticos A.C.,,,Machiche,Árbol,,15 m,17 cm,,128,3834,,,,,,,,,,,,
Fabaceae,Lonchocarpus,castilloi, ,Standl.,MEXUw-2780,Carmona V. Tomás F.,,TFCV-O26,,,,Chiapas,México, 28/10/1977,28,10,1977,Instituto de Investigaciones Sobre Recursos Bióticos A.C.,,,Machiche,Árbol,,,,,128,3834,,,,,,,,,,,,
Fabaceae,Lonchocarpus,castilloi, ,Standl.,MEXUw-2781,Carmona V. Tomás F.,,TFCV-O34,,,,Chiapas,México,NA,NA,NA,NA,Instituto de Investigaciones Sobre Recursos Bióticos A.C.,,,Machiche,Árbol,,,,,128,3834,,,,,,,,,,,,
Fabaceae,Lonchocarpus,castilloi, ,Standl.,MEXUw-2782,NA,,NA,,,,Campeche,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Machiche,Árbol,,10 m,12 cm,,128,3834,,,,,,,,,,,,
Fabaceae,Lonchocarpus,castilloi, ,Standl.,MEXUw-2783,NA,,NA,,,,Campeche,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Machiche,Árbol,,12 m,10 cm,,128,3834,,,,,,,,,,,,
Fabaceae,Lonchocarpus,castilloi, ,Standl.,MEXUw-2784,NA,,NA,,,,Campeche,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Machiche,Árbol,,10 m,11 cm,,128,3834,,,,,,,,,,,,
Fabaceae,Lonchocarpus,castilloi, ,Standl.,MEXUw-2785,NA,,NA,,,,Quintana Roo,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Machiche,Árbol,,8 m,10 cm,,128,3834,,,,,,,,,,,,
Fabaceae,Lonchocarpus,hondurensis, ,Benth.,MEXUw-2786,Williams Liewelyn,,NA,,,,Oaxaca,México,99/99/1937,NA,NA,1937,Fiel Museum of Natural History,,,,Árbol,,,,,128,3834,,,,,,,,,,,,
Fabaceae,Lonchocarpus,longystilus, ,Pittier.,MEXUw-2787,NA,,NA,,,,Quintana Roo,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Balché,Árbol,,6 m,16 cm,,128,3834,,,,,,,,,,,,
Fabaceae,Lonchocarpus,rugosus, ,Benth.,MEXUw-2788,B. Curtis Alan,Edgar Cabrera Cano,27,,,,Yucatán,México,17/6/1905,17,6,1905,Alan B. Curtis - Edgar Cabrera Cano - CIQRO,,,Kanasin,Árbol,,,,,128,3834,,,,,,,,,,,,
Fabaceae,Lonchocarpus,sp., ,Kunth,MEXUw-2789,NA,,11253,,,,Yucatán,México,1/4/1951,1,4,1951,Fiel Museum of Natural History,,,Balche,Árbol,,8 m,,,128,3834,,,,,,,,,,,,
Fabaceae,Lonchocarpus,guatemalensis, ,Benth.,MEXUw-2790,B. Curtis Alan,Edgar Cabrera Cano,28,,,xuul,Yucatán,México,25/6/1905,25,6,1905,Alan B. Curtis - Edgar Cabrera Cano - CIQRO,,,Xuul,Árbol,,,,,128,3834,,,,,,,,,,,,
Fabaceae,Lysiloma,acapulcense, ,(Kunth) Benth.,MEXUw-2791,Carmona V. Tomás F.,,TFCV-024,Mimosaceae,,,Chiapas,México, 18/08/1977,18,8,1977,Instituto de Investigaciones Sobre Recursos Bióticos A.C.,,,Tripal,Árbol,,,,,128,3445,,,,,,,,,,,,
Fabaceae,Lysiloma,acapulcense, ,(Kunth) Benth.,MEXUw-2792,Carmona V. Tomás F.,,TFCV-030,Mimosaceae,,,Chiapas,México, 20/08/1977,20,8,1977,Instituto de Investigaciones Sobre Recursos Bióticos A.C.,,,Tripal,Árbol,,,,,128,3445,,,,,,,,,,,,
Fabaceae,Lysiloma,acapulcense, ,(Kunth) Benth.,MEXUw-2793,Guridi Gómez L.,Madrigal Sánchez X.,4148,Mimosaceae,,,Michoacán,México,1/12/1986,1,12,1986,"Fac. de Ingeniería y Tecnología de Madera,  Univ. Michoacana San Nicolas de Hidalgo",,,Tepehuaje,Árbol,,6 m,12 cm,,128,3445,,,,,,,,,,,,
Fabaceae,Lysiloma,latisiliquum, ,(L.) Benth.,MEXUw-2794,NA,,NA,Mimosaceae,,bahamense,Estado de México,México,NA,NA,NA,NA,"Colegio de Postgraduados en Ciencias Agrícolas, Universidad Autónoma de Chapingo",,,,Árbol,,,,,128,3445,,,,,,,,,,,,
Fabaceae,Lysiloma,latisiliquum, ,(L.) Benth.,MEXUw-2795,NA,,NA,Mimosaceae,,bahamense,Campeche,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Tzalam,Árbol,,15 m,23 cm,,128,3445,,,,,,,,,,,,
Fabaceae,Lysiloma,latisiliquum, ,(L.) Benth.,MEXUw-2796,NA,,NA,Mimosaceae,,bahamense,Campeche,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Tzalam,Árbol,,8 m,30 cm,,128,3445,,,,,,,,,,,,
Fabaceae,Lysiloma,latisiliquum, ,(L.) Benth.,MEXUw-2797,NA,,NA,Mimosaceae,,bahamense,Campeche,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Tzalam,Árbol,,6 m,24 cm,,128,3445,,,,,,,,,,,,
Fabaceae,Machaerium,scleroxylon, ,Tul.,MEXUw-2798,Intercambio,,NA,,,,Bolivia,Bolivia,1/7/1905,1,7,1905,Réjean Drouin ,,,,Árbol,,,,,128,3823,,,,,,,,,,,,
Fabaceae,Macrolobium,campestre, ,Huber,MEXUw-2799,Monteiro da Costa R. C.,,325,Caesalpiniaceae,,,Pára,Brasil,99/99/1932,NA,NA,1932,Fiel Museum of Natural History,,,"Ingarana xixy, ingarana vermelha",Árbol,,,,,128,3517,,,,,,,,,,,,
Fabaceae,Millettia,laurentii, ,De Wild.,MEXUw-2800,Artola Aguirretxe Imanol,,427,,,,Galicia,España,01/08/27,1,8,2027,Museo de la Madera de Andueza (Centro de Interpretación de al Madera de Andueza),,,Wenge,Árbol,,,,,128,3720,,,,,,,,,,,,
Fabaceae,Mimosa,bahamensis, ,Benth.,MEXUw-2801,Montaño Arias S. A.,,T-43?,Mimosaceae,,,Yucatán,México, 02/02/2008?,2,2,2008?,Herbario Metropolitano UAMIZ,,,,Árbol pequeño,,,,,127,3449,,,,,,,,,,,,
Fabaceae,Mimosa,bahamensis, ,Benth.,MEXUw-2802,Montaño Arias S. A.,,T-44,Mimosaceae,,,Yucatán,México, 02/02/2008,2,2,2008,Herbario Metropolitano UAMIZ,,,,Árbol pequeño,,,,,128,3449,,,,,,,,,,,,
Fabaceae,Mimosa,tejupilcana, ,L.,MEXUw-2803,Montaño Arias S. A.,,T-2?,Mimosaceae,,,Estado de México,México,16/06/2007,16,6,2007,Herbario Metropolitano UAMIZ,,,,Árbol pequeño,,,,,DB decía UAMI 008,128,..\ImgTablillas\UAMI008.jpg,,,,,,,,,,,
Fabaceae,Mimosa,tejupilcana, ,L.,MEXUw-2804,Montaño Arias S. A.,,T-2?,Mimosaceae,,,Estado de México,México,16/06/2007,16,6,2007,Herbario Metropolitano UAMIZ,,,,Árbol pequeño,,,,,DB decía UAMI 008,128,..\ImgTablillas\UAMI008.jpg,,,,,,,,,,,
Fabaceae,Mimosa,texana,var. filipes,(Britton & Rose) Barneby,MEXUw-2805,Montaño Arias S. A.,,UAMI1,Mimosaceae,,,Puebla,México,13/05/2007,13,5,2007,Herbario Metropolitano UAMIZ,,,,Árbol,,,,,,128,..\ImgTablillas\UAMI010.jpg,,,,,,,,,,,
Fabaceae,Mimusops,elengi, ,L.,MEXUw-2806,NA,,NA,Mimosaceae,,,Cuba,Cuba,NA,NA,NA,NA,Centro de Investigaciones forestales,,,Elengi,Árbol,,,,,128,6386,,,,,,,,,,,,
Fabaceae,Manilkara,hexandra, ,Dubard,MEXUw-2807,NA,,1427,Mimosaceae,Mimusops,,India,India,NA,NA,NA,NA,Fiel Museum of Natural History,,,,Árbol,,10 m,15 cm,,128,6386,,,,,,,,,,,,
Fabaceae,Mora,oleifera, ,Ducke,MEXUw-2808,NA,,10376,Caesalpiniaceae,,megistosperma,Ecuador,Ecuador,NA,NA,NA,NA,Fiel Museum of Natural History,,,,Árbol,,9 m,15 cm,,128,3473A,,,,,,,,,,,,
Fabaceae,Myroxylon,balsamum, ,(L.) Harms,MEXUw-2809,Réjean Drouin,,NA,,,,Perú,Perú,1/7/1905,1,7,1905,Réjean Drouin ,,,,Árbol,,,,,128,3584,,,,,,,,,,,,
Fabaceae,Myroxylon,balsamum, ,(L.) Harms,MEXUw-2810,Enriquez,,NA,,,balsamun var. pereirae,Peten,Guatemala,NA,NA,NA,NA,"U.S Forest Products Laboratory, One Gifford Pinchot Drive",,,,Árbol,,,,,128,3584,,,,,,,,,,,,
Fabaceae,Hymenaea,courbaril, ,L.,MEXUw-2811,NA,,NA,Caesalpiniaceae,,,Wisconsin,Estados Unidos Americanos,1957,NA,NA,1957,Fiel Museum of Natural History,,,,Árbol,,,,,128,3499,,,,,,,,,,,,
Fabaceae,Hymenaea,courbaril, ,L.,MEXUw-2812,Mc. Clay Clara,,64,Caesalpiniaceae,,,Peten,Guatemala,NA,NA,NA,NA,"U.S Forest Products Laboratory, One Gifford Pinchot Drive",,,,Árbol,,,,,128,3499,,,,,,,,,,,,
Fabaceae,Hymenaea,oblongifolia,var. palustris,(Ducke) Y.T.Lee & Langenh.,MEXUw-2813,NA,,99,Caesalpiniaceae,,palustris,Perú,Perú,NA,NA,NA,NA,Fiel Museum of Natural History,,,,Árbol,,,,,128,3499,,,,,,,,,,,,
Fabaceae,Lysiloma,bahamensis,aff.,Benth.,MEXUw-2814,NA,,4,Mimosaceae,,,NA,NA, 20/05/2010,20,5,2010,Donacion BOZOMEX,,,Tornillo,Árbol,,,,,128,3445,,,,,,,,,,,,
Fabaceae,Dipteryx,sp., ,Schreb.,MEXUw-2815,NA,,5,,,,NA,NA, 20/05/2010,20,5,2010,Donacion BOZOMEX,,,Cumaru,Árbol,,,,,128,3843,,,,,,,,,,,,
Meliaceae,Cedrela,fissilis, ,Vell.,MEXUw-2816,NA,,6,,,,NA,NA,20/5/2010,20,5,2010,Donacion BOZOMEX,,,Cedro real,Árbol,,,,,140,4155,,,,,,,,,,,,
Fabaceae,Olneya,tesota, ,A. Gray,MEXUw-2817,Réjean Drouin,,NA,,,,Nuevo México,Estados Unidos Americanos,1/7/1905,1,7,1905,Réjean Drouin ,,,,Árbol,,15 m,,,128,3739,,,,,,,,,,,,
Fabaceae,Olneya,tesota, ,A. Gray,MEXUw-2818,NA,,NA,,,,CDMX,México,NA,NA,NA,NA,Palacio de Mineria,,,Palo fierro,Árbol,,20 m,30 cm,,128,3739,,,,,,,,,,,,
Fabaceae,Ormosia,krugii, ,Urb.,MEXUw-2819,NA,,17471,,,,Puerto Rico,Puerto Rico,99/99/1957,NA,NA,1957,Fiel Museum of Natural History,,,Palo de matos,Árbol,,11 m,20 cm,,128,3597,,,,,,,,,,,,
Fabaceae,Ormosia,macrocalyx, ,Ducke,MEXUw-2820,Sosa,,43,,,toledoana,Peten,Guatemala,NA,NA,NA,NA,"U.S Forest Products Laboratory, One Gifford Pinchot Drive",,,,Árbol,,,,,128,3597,,,,,,,,,,,,
Fabaceae,Ormosia,velutina, ,Rudd,MEXUw-2821,Ortega González M.,,NA,,,schippii,Chiapas,México,99/99/1958,NA,NA,1958,Compañia Maderera Maya,,,,Árbol,,12 m,28 cm,,128,3597,,,,,,,,,,,,
Fabaceae,Ougeinia,oojeinensis, ,(Roxb.) Hochr.,MEXUw-2822,W. Coll. Expos.,,NA,,,dalbergioides,India,India,99/99/1893,NA,NA,1893,Fiel Museum of Natural History,,,,Árbol,,,,,128,3805,,,,,,,,,,,,
Fabaceae,Parkia,nitida, ,Miq.,MEXUw-2823,NA,,NA,Mimosaceae,,oppositifolia,Perú,Perú,NA,NA,NA,NA,Fiel Museum of Natural History,,,,Árbol,,,,,128,3469,,,,,,,,,,,,
Fabaceae,Peltogyne,venosa,subsp. densiflora,(Spruce ex Benth.) M.F.Silva,MEXUw-2824,NA,,NA,Caesalpiniaceae,,densiflora,Brasil,Brasil,NA,NA,NA,NA,"U.S Forest Products Laboratory, One Gifford Pinchot Drive",,,Pau roxo,Árbol,,30 m,30 cm,,128,3500,,,,,,,,,,,,
Fabaceae,Peltogyne,sp., ,Vogel,MEXUw-2825,NA,,NA,Caesalpiniaceae,,,Amazonas,Brasil,NA,NA,NA,NA,Centro de Tecnología Madereira,,,Coataquicaua,Árbol,,,,,128,3500,,,,,,,,,,,,
Fabaceae,Pentaclethra,macroloba, ,(Willd.) Kuntze,MEXUw-2826,Smith Sloan,,NA,Mimosaceae,,,Costa Rica,Costa Rica,NA,NA,NA,NA,"U.S Forest Products Laboratory, One Gifford Pinchot Drive",,,,Árbol,,,,,128,3470,,,,,,,,,,,,
Fabaceae,Balizia ,pedicellaris, ,(DC.) Barneby & J.W.Grimes,MEXUw-2827,Tingo María,,85,Mimosaceae,Macrosamanea,,Perú,Perú,NA,NA,NA,NA,Fiel Museum of Natural History,,,,Árbol,,21.60 m,34 cm,,128,3443A,,,,,,,,,,,,
Fabaceae,Parapiptadenia,rigida, ,(Benth.) Brenan,MEXUw-2828,Réjean Drouin,,NA,,Piptadenia,,Brasil,Brasil,1/7/1905,1,7,1905,Réjean Drouin ,,,,Árbol,,,,,128,3463,,,,,,,,,,,,
Fabaceae,Gwilymia,polystachya, ,"(Miq.) A.G.Lima, Paula-Souza & Scalon",MEXUw-2829,NA,,429,Mimosaceae,Piptadenia,tocantina,Pára,Brasil,99/99/1932,NA,NA,1932,Fiel Museum of Natural History,,,,Árbol,,15 m,27 cm,,128,3463,,,,,,,,,,,,
Fabaceae,Piscidia,piscipula, ,(L.) Sarg.,MEXUw-2830,NA,,NA,,,communis,Campeche,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,,Árbol,,3 m,,,128,3839,,,,,,,,,,,,
Fabaceae,Piscidia,piscipula, ,(L.) Sarg.,MEXUw-2831,NA,,NA,,,communis,Quintana Roo,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Jabín,Árbol,,,,,128,3839,,,,,,,,,,,,
Fabaceae,Piscidia,piscipula, ,(L.) Sarg.,MEXUw-2832,NA,,NA,,,erythrina,Campeche,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Jabín,Árbol,,6 m,20 cm,,128,3839,,,,,,,,,,,,
Fabaceae,Havardia,albicans, ,(Kunth) Britton & Rose,MEXUw-2833,B. Curtis Alan,Edgar Cabrera Cano,29,Mimosaceae,Pithecellobium,,Yucatán,México,25/6/1905,25,6,1905,Alan B. Curtis - Edgar Cabrera Cano - CIQRO,,,Chimay,Árbol,,,,,128,3441,,,,,,,,,,,,
Fabaceae,Cojoba,arborea, ,(L.) Britton & Rose,MEXUw-2834,Ortega González M.,,NA,Mimosaceae,Pithecellobium,arboreum,Chiapas,México,99/99/1958,NA,NA,1958,Compañia Maderera Maya,,,Coralillo,Árbol,,,,,128,3441,,,,,,,,,,,,
Fabaceae,Cojoba,arborea, ,(L.) Britton & Rose,MEXUw-2835,NA,,NA,Mimosaceae,Pithecellobium,arboreum,San Luis Potosi,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Frijolillo,Árbol,,,,,128,3441,,,,,,,,,,,,
Fabaceae,Cojoba,arborea, ,(L.) Britton & Rose,MEXUw-2836,NA,,NA,Mimosaceae,Pithecellobium,arboreum,San Luis Potosi,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Frijolillo,Árbol,,5.5 m,7.5 cm,,128,3441,,,,,,,,,,,,
Fabaceae,Pithecellobium,lanceolatum, ,(Humb. & Bonpl. ex Willd.) Benth.,MEXUw-2837,Zolá  M.,,2137,Mimosaceae,,calostachys,México,México,NA,NA,NA,NA,"Xiloteca del Instituto de Investigaciones sobre Recursos Bióticos, Xalapa, Veracruz",,,,Árbol,,,,,128,3441,,,,,,,,,,,,
Fabaceae,Jupunba,glauca, ,Britton,MEXUw-2838,NA,,NA,Mimosaceae,Pithecellobium,discolor,Cuba,Cuba,NA,NA,NA,NA,Centro de Investigaciones forestales,,,Azulito,Árbol,,,,,128,3441,,,,,,,,,,,,
Fabaceae,Pithecellobium,dulce, ,(Roxb.) Benth.,MEXUw-2839,NA,,NA,Mimosaceae,,,Jalisco,México,NA,NA,NA,NA,Universidad de Guadalajara,,,Guamuchil,Árbol,,,,,128,3441,,,,,,,,,,,,
Fabaceae,Ebenopsis,ebano, ,(Berland.) Barneby & J.W.Grimes,MEXUw-2840,Réjean Drouin,,NA,,Pithecellobium,flexicaule,U.S.A,Estados Unidos Americanos,1/7/1905,1,7,1905,Réjean Drouin ,,,,Árbol,,6 m,7 cm,,128,3441,,,,,,,,,,,,
Fabaceae,Ebenopsis,ebano, ,(Berland.) Barneby & J.W.Grimes,MEXUw-2841,Réjean Drouin,,NA,,Pithecellobium,flexicaule,U.S.A,Estados Unidos Americanos,1/7/1905,1,7,1905,Réjean Drouin ,,,,Árbol,,15 m,,,128,3441,,,,,,,,,,,,
Fabaceae,Ebenopsis,ebano, ,(Berland.) Barneby & J.W.Grimes,MEXUw-2842,NA,,M-1,Mimosaceae,Pithecellobium,flexicaule,Wisconsin,Estados Unidos Americanos,NA,NA,NA,NA,"U.S Forest Products Laboratory, One Gifford Pinchot Drive",,,,Árbol,,12 m,16 cm,,128,3441,,,,,,,,,,,,
Fabaceae,Ebenopsis,ebano, ,(Berland.) Barneby & J.W.Grimes,MEXUw-2843,NA,,NA,Mimosaceae,Pithecellobium,flexicaule,Tamaulipas,México,NA,NA,NA,NA,"Instituto Nacional de Investigaciones Forestales, México",,,Ebano,Árbol,,,,,128,3441,,,,,,,,,,,,
Fabaceae,Chloroleucon,mangense, ,(Jacq.) J.F. Macbr.,MEXUw-2844,B. Curtis Alan,Edgar Cabrera Cano,30,Mimosaceae,Pithecellobium,,Yucatán,México,11/6/1905,11,6,1905,Alan B. Curtis - Edgar Cabrera Cano - CIQRO,,,"Chakchucum, verde lucero",Árbol,,,8 cm,,128,3441,,,,,,,,,,,,
Fabaceae,Punjuba,racemiflora, ,(Donn.Sm.) Britton & Rose,MEXUw-2845,NA,,NA,Mimosaceae,Pithecellobium,racemiflorum,Brasil,Brasil,NA,NA,NA,NA,"U.S Forest Products Laboratory, One Gifford Pinchot Drive",,,Angelin rajado,Árbol,,,,,128,3441,,,,,,,,,,,,
Fabaceae,Chloroleucon,tenuiflorum, ,(Benth.) Barneby & J.W.Grimes,MEXUw-2846,Réjean Drouin,,NA,,Pithecellobium,scalare,Argentina,Argentina,1/7/1905,1,7,1905,Réjean Drouin ,,,,Árbol,,,,,128,3441,,,,,,,,,,,,
Fabaceae,Pithecellobium,sp., ,Mart.,MEXUw-2847,Ortega González M.,,NA,Mimosaceae,,,Chiapas,México,99/99/1958,NA,NA,1958,Compañia Maderera Maya,,,Guacirán,Árbol,,,,,128,3441,,,,,,,,,,,,
Fabaceae,Chloroleucon,tortum, ,(Mart.) Pittier,MEXUw-2848,Mendoza F.,,895,Mimosaceae,Pithecellobium,,Nayarit,México, 99/05/1978,NA,5,1978,Centro regional de Enseñanza Tecnica Industrial-Guadalajara,,,Palo fierro,Árbol,,,,,128,3441,,,,,,,,,,,,
Fagaceae,Quercus,crassifolia, ,Benth.,MEXUw-2849,Guridi Gómez L.,Madrigal Sánchez X.,3983,,,,Michoacán,México,1/12/1986,1,12,1986,"Fac. de Ingeniería y Tecnología de Madera,  Univ. Michoacana San Nicolas de Hidalgo",,,Encino,Árbol,,,,,62,1893,,,,,,,,,,,,
Fagaceae,Quercus,laurina, ,Liebm ex A. DC.,MEXUw-2850,"Echenique Manrique, Ramón",,REM-51,,,,Oaxaca,México,01/05/1977,1,5,1977,Instituto de Investigaciones Sobre Recursos Bióticos A.C.,,,Encino,Árbol,,,,,62,1893,,,,,,,,,,,,
Fagaceae,Quercus,resinosa, ,Liebm,MEXUw-2851,Guridi Gómez L.,Madrigal Sánchez X.,4140,,,,Michoacán,México,1/12/1986,1,12,1986,"American Woods - R. B, Hough",,,"Roble rojo meridional, Schneck´s oak, southern red oak",Árbol,,,,,62,1893,,,,,,,,,,,,
Sapotaceae,Manilkara,zapota, ,(L.) P. Royen,MEXUw-2852,"Calzada, Juan Ismael",,JIC-2926,,,,Chiapas,México,07/12/1976,7,12,1976,Instituto de Investigaciones Sobre Recursos Bióticos A.C.,,,"Árbol del chicle, chico zapote",Árbol,,15 m,25 cm,,239,6386A,,,,,,,,,,,,
Fabaceae,Platymiscium,trinitatis,var. duckei,(Huber) Klitg.,MEXUw-2853,Monteiro da Costa R. C.,,NA,,,duckei,Pára,Brasil,99/99/1932,NA,NA,1932,Fiel Museum of Natural History,,,Balsamo,Árbol,,25 m,60 cm,,128,3829,,,,,,,,,,,,
